match_type,pattern,action,section,category,note
code,8703,BLOCKED,17(5)(a),Motor vehicles for passengers,"Cars for up to 13 people are blocked unless used for further supply of vehicles, passenger transport or driving training."
code,8711,BLOCKED,17(5)(a),Motor vehicles for passengers,"Two-wheelers are blocked on the same basis as cars."
code,99633,BLOCKED,17(5)(b)(i),Food and beverages,"Restaurant, catering and food-serving services are blocked unless you supply the same category onward."
code,2202,REVIEW,17(5)(b)(i),Food and beverages,"Beverages are usually staff/guest consumption; check how they were used."
code,99972,BLOCKED,17(5)(b)(i),Beauty and health services,"Beauty treatment and wellness services are blocked."
code,997131,BLOCKED,17(5)(b)(i),Life insurance,"Blocked unless the law obliges the employer to provide it."
code,997132,BLOCKED,17(5)(b)(i),Health insurance,"Blocked unless the law obliges the employer to provide it."
code,996601,BLOCKED,17(5)(b)(i),Rent-a-cab,"Blocked unless you supply the same category onward (e.g. a travel business)."
code,9995,REVIEW,17(5)(b)(ii),Club and membership fees,"Club or fitness memberships are blocked; trade-association fees are not."
code,9964,REVIEW,17(5)(b)(iii),Passenger transport,"Blocked if it is a holiday/travel benefit to employees; business travel is fine."
code,9954,REVIEW,17(5)(c)/(d),Construction of immovable property,"Blocked when capitalised into your own building; fine for repairs or plant and machinery."
code,2402,REVIEW,17(5)(g),Personal consumption,"Tobacco is almost always personal consumption."
keyword,gift,REVIEW,17(5)(h),Gifts and free samples,"Goods given away as gifts or free samples are blocked."
keyword,diwali,REVIEW,17(5)(h),Gifts and free samples,"Festival purchases are often gifts; check how they were used."
keyword,catering,REVIEW,17(5)(b)(i),Food and beverages,"Catering is blocked unless supplied onward."
keyword,lunch,REVIEW,17(5)(b)(i),Food and beverages,"Meals are usually blocked."
keyword,dinner,REVIEW,17(5)(b)(i),Food and beverages,"Meals are usually blocked."
keyword,health club,REVIEW,17(5)(b)(ii),Club and membership fees,"Fitness memberships are blocked."
